Metric,precision,recall,f1-score,support
0,0.0,0.0,0.0,177.0
1,0.3192307692307692,1.0,0.4839650145772595,83.0
accuracy,0.3192307692307692,0.3192307692307692,0.3192307692307692,0.3192307692307692
macro avg,0.1596153846153846,0.5,0.24198250728862974,260.0
weighted avg,0.10190828402366864,0.3192307692307692,0.154496523884279,260.0
